Reference,Pad,PadName,Net,Value,Footprint
U2,4,4,CANFD_A_RXCAN,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U2,5,5,+3V3,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U2,6,6,CAN_A_L,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U2,7,7,CAN_A_H,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U2,8,8,CANFD_A_XSTBY,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U3,1,1,CANFD_B_TXCAN,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U3,2,2,GND,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U3,3,3,+5V_REGULATED,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U3,4,4,CANFD_B_RXCAN,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U3,5,5,+3V3,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U3,6,6,CAN_B_L,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U3,7,7,CAN_B_H,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U3,8,8,CANFD_B_XSTBY,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U4,1,1,LIN_RX,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U4,2,2,LIN_EN,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U4,3,3,,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U4,4,4,LIN_TX,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U4,5,5,GND,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U4,6,6,LIN_BUS,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U4,7,7,+12V_PROTECTED,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U4,8,8,,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U5,,,,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U5,,,,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U5,,,,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U5,,,,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U5,1,1,+12V_PROTECTED,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U5,2,2,BUCK_SW,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U5,3,3,GND,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U5,3,3,GND,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U5,4,4,+5V_REGULATED,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U5,5,5,GND,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3
U6,1,1,CANFD_A_TXCAN,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,2,2,CANFD_A_RXCAN,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,3,3,,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,4,4,CANFD_A_INT,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,5,5,CANFD_A_OSC2,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,6,6,CANFD_A_OSC1,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,7,7,GND,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,8,8,,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,9,9,CANFD_A_XSTBY,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,10,10,CANFD_SPI_SCK,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,11,11,CANFD_SPI_SDI_MOSI,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,12,12,CANFD_SPI_SDO_MISO,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,13,13,CANFD_A_NCS,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U6,14,14,+3V3,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,1,1,CANFD_B_TXCAN,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,2,2,CANFD_B_RXCAN,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,3,3,,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,4,4,CANFD_B_INT,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,5,5,CANFD_B_OSC2,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,6,6,CANFD_B_OSC1,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,7,7,GND,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,8,8,,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,9,9,CANFD_B_XSTBY,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,10,10,CANFD_SPI_SCK,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,11,11,CANFD_SPI_SDI_MOSI,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,12,12,CANFD_SPI_SDO_MISO,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,13,13,CANFD_B_NCS,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
U7,14,14,+3V3,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm
Y1,1,1,CANFD_A_OSC1,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
Y1,2,2,GND,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
Y1,3,3,CANFD_A_OSC2,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
Y1,4,4,GND,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
Y2,1,1,CANFD_B_OSC1,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
Y2,2,2,GND,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
Y2,3,3,CANFD_B_OSC2,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
Y2,4,4,GND,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
