Reference,Pad,PadName,Net,Value,Footprint
J1,6,6,OBD6_CAN_A_PAIR_A,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,7,7,OBD7_SINGLE_WIRE_CANDIDATE,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,8,8,OBD8_SINGLE_WIRE_CANDIDATE,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,9,9,OBD9_SINGLE_WIRE_CANDIDATE,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,10,10,OBD10_SPARE_PWM_J1850_CANDIDATE,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,11,11,OBD11_CAN_B_PAIR_B_CANDIDATE,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,12,12,OBD12_SINGLE_WIRE_CANDIDATE,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,13,13,OBD13_SINGLE_WIRE_CANDIDATE,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,14,14,OBD14_CAN_A_PAIR_B,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,15,15,OBD15_SINGLE_WIRE_CANDIDATE,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J1,16,16,+12V_OBD,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing
J2,1,1,CAN_B_H,AUX_HEADER,teensy-41-can-lin:PinHeader_1x08_P2.54mm_Vertical
J2,2,2,CAN_B_L,AUX_HEADER,teensy-41-can-lin:PinHeader_1x08_P2.54mm_Vertical
J2,3,3,AUX_LIN_K_IO,AUX_HEADER,teensy-41-can-lin:PinHeader_1x08_P2.54mm_Vertical
J2,4,4,GND,AUX_HEADER,teensy-41-can-lin:PinHeader_1x08_P2.54mm_Vertical
J2,5,5,+5V_REGULATED,AUX_HEADER,teensy-41-can-lin:PinHeader_1x08_P2.54mm_Vertical
J2,6,6,+12V_PROTECTED,AUX_HEADER,teensy-41-can-lin:PinHeader_1x08_P2.54mm_Vertical
J2,7,7,CAN_A_H,AUX_HEADER,teensy-41-can-lin:PinHeader_1x08_P2.54mm_Vertical
J2,8,8,CAN_A_L,AUX_HEADER,teensy-41-can-lin:PinHeader_1x08_P2.54mm_Vertical
JP1,1,1,LIN_MASTER_DIODE_OUT,LIN_MASTER_ENABLE_OPEN_0R_DNP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
JP1,2,2,LIN_MASTER_ENABLE,LIN_MASTER_ENABLE_OPEN_0R_DNP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
L1,1,1,BUCK_SW,33uH_3A_BUCK_INDUCTOR,teensy-41-can-lin:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP
L1,2,2,+5V_REGULATED,33uH_3A_BUCK_INDUCTOR,teensy-41-can-lin:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP
MH1,,,,M3,teensy-41-can-lin:MountingHole_3.2mm_M3
MH2,,,,M3,teensy-41-can-lin:MountingHole_3.2mm_M3
MH3,,,,M3,teensy-41-can-lin:MountingHole_3.2mm_M3
MH4,,,,M3,teensy-41-can-lin:MountingHole_3.2mm_M3
