Qty,Designators,Value,Footprint,DNP,Notes
1,SW1,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,NO,PCB-derived; verify exact MPN before assembly
1,SW2,LIN_K_SOURCE_DIP_8POS_SELECT_ONE,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,NO,PCB-derived; verify exact MPN before assembly
1,TP1,12V,teensy-41-can-lin:TestPoint_Pad_D1.5mm,NO,PCB-derived; verify exact MPN before assembly
1,TP2,5V,teensy-41-can-lin:TestPoint_Pad_D1.5mm,NO,PCB-derived; verify exact MPN before assembly
1,TP3,GND,teensy-41-can-lin:TestPoint_Pad_D1.5mm,NO,PCB-derived; verify exact MPN before assembly
1,TP4,CAN_A_H,teensy-41-can-lin:TestPoint_Pad_D1.5mm,NO,PCB-derived; verify exact MPN before assembly
1,TP5,CAN_A_L,teensy-41-can-lin:TestPoint_Pad_D1.5mm,NO,PCB-derived; verify exact MPN before assembly
1,TP6,CAN_B_H,teensy-41-can-lin:TestPoint_Pad_D1.5mm,NO,PCB-derived; verify exact MPN before assembly
1,TP7,CAN_B_L,teensy-41-can-lin:TestPoint_Pad_D1.5mm,NO,PCB-derived; verify exact MPN before assembly
1,TP8,LIN_BUS,teensy-41-can-lin:TestPoint_Pad_D1.5mm,NO,PCB-derived; verify exact MPN before assembly
1,TP9,AUX_LIN_K,teensy-41-can-lin:TestPoint_Pad_D1.5mm,NO,PCB-derived; verify exact MPN before assembly
1,U1,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited,NO,PCB-derived; verify exact MPN before assembly
1,U2,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm,NO,PCB-derived; verify exact MPN before assembly
1,U3,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm,NO,PCB-derived; verify exact MPN before assembly
1,U4,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm,NO,PCB-derived; verify exact MPN before assembly
1,U5,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3,NO,PCB-derived; verify exact MPN before assembly
1,U6,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm,NO,PCB-derived; verify exact MPN before assembly
1,U7,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm,NO,PCB-derived; verify exact MPN before assembly
2,"Y1,Y2",40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,NO,PCB-derived; verify exact MPN before assembly
